Hotel,Count,Business,Leisure
The Hoxton Shoreditch,341,49,292
The Cavendish London,207,22,185
Avo Hotel,82,23,59
Hotel 82 London,454,156,298
Best Western Plus Seraphine Hammersmith Hotel,453,83,370
The Zetter Hotel,96,18,78
Grosvenor House Suites by Jumeirah Living,48,4,44
88 Studios,272,74,198
Adria Boutique Hotel,137,28,109
Sydney House Chelsea,122,26,96
Radisson Blu Edwardian Bloomsbury Street,486,53,433
Hotel Moonlight,151,49,102
Thistle Hyde Park,167,22,145
DoubleTree by Hilton London West End,500,73,427
Holiday Inn London Kensington Forum,804,119,685
Radisson Blu Edwardian Kenilworth,575,95,480
Melia White House Hotel,354,65,289
The Waldorf Hilton,447,38,409
The Capital,58,7,51
Megaro Hotel,398,84,314
Thistle Holborn The Kingsley,379,63,316
The Westbury A Luxury Collection Hotel Mayfair London,149,27,122
Crowne Plaza London Battersea,331,38,293
Amba Hotel Marble Arch,587,73,514
Taj 51 Buckingham Gate Suites and Residences,55,6,49
Jumeirah Carlton Tower,32,5,27
Holiday Inn London Regent s Park,416,82,334
Thistle Euston,611,125,486
The Connaught,19,5,14
Doubletree By Hilton London Greenwich,512,66,446
The Chelsea Harbour Hotel,284,64,220
Grange City Hotel,213,30,183
Holiday Inn London Bloomsbury,644,114,530
Holiday Inn London Wembley,1046,57,989
Best Western PLUS Epping Forest,175,33,142
St Pancras Renaissance Hotel London,624,66,558
DoubleTree By Hilton London Excel,819,153,666
Millennium Copthorne Hotels at Chelsea Football Club,455,82,373
Durrants Hotel,391,106,285
The Cumberland A Guoman Hotel,869,165,704
London Marriott Hotel Grosvenor Square,149,34,115
Flemings Mayfair,259,60,199
Hilton London Green Park,267,40,227
COMO The Halkin,10,2,8
Four Seasons Hotel London at Park Lane,30,2,28
Hotel 55,218,41,177
Hilton London Kensington Hotel,1104,129,975
The Lanesborough,13,6,7
DoubleTree by Hilton London Chelsea,256,45,211
Great Northern Hotel A Tribute Portfolio Hotel London,365,63,302
De Vere Devonport House,617,61,556
Hilton London Wembley,1174,116,1058
Corus Hotel Hyde Park,662,100,562
London Elizabeth Hotel,160,38,122
Lancaster London,357,63,294
London Marriott Hotel County Hall,128,13,115
Jumeirah Lowndes Hotel,61,9,52
The Mandeville Hotel,431,82,349
Hallmark Hotel London Chigwell Prince Regent,249,45,204
Apex City Of London Hotel,491,45,446
COMO Metropolitan London,75,14,61
Aloft London Excel,657,165,492
Ham Yard Hotel,64,9,55
Grosvenor House A JW Marriott Hotel,100,25,75
The Rookery,130,41,89
Sheraton Grand London Park Lane,53,11,42
London Marriott Maida Vale,255,20,235
The Langham London,231,27,204
The Ned,154,36,118
K West Hotel Spa,402,77,325
Crowne Plaza London Docklands,815,112,703
Copthorne Tara Hotel London Kensington,1985,279,1706
Sloane Square Hotel,227,50,177
Hilton London Canary Wharf,770,72,698
Grange Holborn Hotel,187,27,160
The Stafford London,113,17,96
The Tower A Guoman Hotel,992,122,870
The Savoy,272,21,251
The May Fair Hotel,429,58,371
Amba Hotel Charing Cross,383,45,338
Holiday Inn London Brent Cross,199,60,139
Bermondsey Square Hotel A Bespoke Hotel,214,51,163
Crowne Plaza London Ealing,214,31,183
Good Hotel London,340,84,256
Park Plaza Westminster Bridge London,2233,284,1949
Hotel du Vin Cannizaro House Wimbledon,164,26,138
Thistle Trafalgar Square The Royal Trafalgar,253,31,222
Corinthia Hotel London,97,10,87
The Berkeley,40,6,34
Holiday Inn London Kensington,1676,305,1371
total,,24916,116370
